ALABAMA,Alabama,AL,Y
ALASKA,Alaska,AK,Y
ARIZONA,Arizona,AZ,Y
ARKANSAS,Arkansas,AR,Y
CALIFORNIA,California,CA,Y
COLORADO,Colorado,CO,Y
CONNECTICUT,Connecticut,CT,Y
DELAWARE,Delaware,DE,Y
FLORIDA,Florida,FL,Y
GEORGIA,Georgia,GA,Y
HAWAII,Hawaii,HI,Y
IDAHO,Idaho,ID,Y
ILLINOIS,Illinois,IL,Y
INDIANA,Indiana,IN,Y
IOWA,Iowa,IA,Y
KANSAS,Kansas,KS,Y
KENTUCKY,Kentucky,KY,Y
LOUISIANA,Louisiana,LA,Y
MAINE,Maine,ME,Y
MARYLAND,Maryland,MD,Y
MASSACHUSETTS,Massachusetts,MA,Y
MICHIGAN,Michigan,MI,Y
MINNESOTA,Minnesota,MN,Y
MISSISSIPPI,Mississippi,MS,Y
MISSOURI,Missouri,MO,Y
MONTANA,Montana,MT,Y
NEBRASKA,Nebraska,NE,Y
NEVADA,Nevada,NV,Y
NEW HAMPSHIRE,New Hampshire,NH,Y
NEW JERSEY,New Jersey,NJ,Y
NEW MEXICO,New Mexico,NM,Y
NEW YORK,New York,NY,Y
NORTH CAROLINA,North Carolina,NC,Y
NORTH DAKOTA,North Dakota,ND,Y
OHIO,Ohio,OH,Y
OKLAHOMA,Oklahoma,OK,Y
OREGON,Oregon,OR,Y
PENNSYLVANIA,Pennsylvania,PA,Y
RHODE ISLAND,Rhode Island,RI,Y
SOUTH CAROLINA,South Carolina,SC,Y
SOUTH DAKOTA,South Dakota,SD,Y
TENNESSEE,Tennessee,TN,Y
TEXAS,Texas,TX,Y
UTAH,Utah,UT,Y
VERMONT,Vermont,VT,Y
VIRGINIA,Virginia,VA,Y
WASHINGTON,Washington,WA,Y
WEST VIRGINIA,West Virginia,WV,Y
WISCONSIN,Wisconsin,WI,Y
WYOMING,Wyoming,WY,Y
GUAM,Guam,GU,Y
DISTRICT OF COLUMBIA,District of Columbia,DC,Y
FEDERATED STATES OF MICRONESIA,Federated States of Micronesia,FM,Y
MARSHALL ISLANDS,Marshall Islands,MH,Y
NORTHERN MARIANA ISLANDS,Northern Mariana Islands,MP,Y
PALAU,Palau,PW,Y
PUERTO RICO,Puerto Rico,PR,Y
VIRGIN ISLANDS,Virgin Islands,VI,Y
